d_s,h_s,t,d_d,P_e,Reference,Group
0.7480319,4.77559313,0.03543309,3.149608,0.843582004,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.77165612,0.03543309,3.149608,0.800060977,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.7637821,0.03543309,3.149608,0.751736351,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62204974,0.03543309,3.149608,0.650658466,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62598675,0.03543309,3.149608,0.580016185,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.64173479,0.03543309,3.149608,0.738244206,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67716788,0.03543309,3.149608,0.537465115,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.63779778,0.03543309,3.149608,0.894660353,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67716788,0.03543309,3.149608,0.90640002,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66929386,0.03543309,3.149608,0.660133995,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.64960881,0.03543309,3.149608,0.584593681,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.65354582,0.03543309,3.149608,0.494581549,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.70078994,0.03543309,3.149608,0.685768721,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.67323087,0.03543309,3.149608,0.666303684,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66929386,0.03543309,3.149608,0.679056033,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.66535685,0.03543309,3.149608,0.86703458,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.62204974,0.03543309,3.149608,0.849389132,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.65748283,0.03543309,3.149608,0.662389899,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.85827034,0.03543309,3.149608,0.464390007,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,5.66142038,0.04724412,3.149608,0.993528532,Nellinger (2015),Stud diameter = 3/4 inch
0.7480319,5.6299243,0.04724412,3.149608,0.910314863,Nellinger (2015),Stud diameter = 3/4 inch
0.8661422,4.89370343,0.035039389,2.2834658,0.588118864,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.8818924,0.035039389,2.2834658,0.585731695,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.8818924,0.035039389,2.2834658,0.546343407,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.8818924,0.035039389,2.2834658,0.556608234,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.87401838,0.035039389,2.2834658,0.629814749,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.87795539,0.035039389,2.2834658,0.592256624,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.86614436,0.035039389,2.2834658,0.581753081,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.88582941,0.035039389,2.2834658,0.558040535,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.87401838,0.035039389,2.2834658,0.718617435,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.85039632,0.035039389,2.2834658,0.710182772,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.90551446,0.035039389,2.2834658,0.738192221,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.89370343,0.035039389,2.2834658,0.594962082,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.85433333,0.035039389,2.2834658,0.695197171,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.82283725,0.035039389,2.2834658,0.800798901,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.83464828,0.035039389,2.2834658,0.828521488,Lawson et al. (2017),Stud diameter = 7/8 inch
0.7480319,4.79527818,0.035039389,2.2834658,0.821325491,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.035039389,2.2834658,0.882751826,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.8031522,0.035039389,2.2834658,0.942541804,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.82283725,0.035039389,2.2834658,0.879604985,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.035039389,2.2834658,0.725409778,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.74803406,0.035039389,2.2834658,1.012616399,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.7637821,0.035039389,2.2834658,0.971892575,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.035039389,2.2834658,1.052303617,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.035039389,2.2834658,0.993068964,Lawson et al. (2017),Stud diameter = 3/4 inch
0.8661422,4.81496323,0.035039389,2.2834658,0.746377331,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.81496323,0.035039389,2.2834658,0.866650707,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.81496323,0.035039389,2.2834658,0.823147571,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.79527818,0.035039389,2.2834658,0.977541053,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.81496323,0.035039389,2.2834658,0.958774995,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.81496323,0.035039389,2.2834658,0.917830867,Lawson et al. (2017),Stud diameter = 7/8 inch
0.7480319,4.8031522,0.035039389,2.2834658,0.743913203,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.8031522,0.0393701,2.2047256,1.208386929,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.81496323,0.0393701,2.2047256,1.421113378,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79921519,0.0393701,2.2047256,1.408303884,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.0393701,2.2047256,1.400899552,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.81890024,0.0393701,2.2047256,1.538620121,Lawson et al. (2017),Stud diameter = 3/4 inch
0.7480319,4.8031522,0.0393701,2.2047256,1.373281395,Lawson et al. (2017),Stud diameter = 3/4 inch
0.8661422,4.85433333,0.0393701,2.2047256,1.206423404,Lawson et al. (2017),Stud diameter = 7/8 inch
0.8661422,4.81496323,0.0393701,2.2047256,1.138356714,Lawson et al. (2017),Stud diameter = 7/8 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.728706956,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.696146316,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.741232459,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.739004137,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.8058323,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.747718634,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.913890898,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.771867552,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.879873006,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.911707173,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.858285047,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.8582698,0.035039389,2.2834658,0.946340458,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.72047445,0.035039389,2.2834658,0.729305342,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.72047445,0.035039389,2.2834658,0.910991278,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,3.72047445,0.035039389,2.2834658,0.907668342,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,0.936348832,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,1.017724977,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,0.993002635,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,0.898208405,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,0.883041214,Vigneri (2021),Stud diameter = 3/4 inch
0.7480319,4.8818924,0.035039389,2.2834658,0.933502271,Vigneri (2021),Stud diameter = 3/4 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.855680073,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.677889207,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.808426687,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.922135939,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.902678662,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.737755078,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.674345203,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.876894875,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.814382582,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.862609112,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.932094489,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.070910487,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,2.80315112,0.037401595,2.00000108,1.203826764,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,2.80315112,0.037401595,2.00000108,0.929968738,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,2.80315112,0.037401595,2.00000108,0.870208107,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.822873434,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.068956228,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.775939983,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.800551122,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.580625986,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.95109022,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,1.061348121,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,1.180871393,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,1.003888351,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.801338679,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.5118113,3.80315166,0.037401595,2.00000108,0.753100847,Rambo-Roddenberry (2002),Stud diameter = 1/2 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.922596229,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.86310064,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.005102307,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.420944399,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.948710146,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.13308672,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.867428063,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.693294633,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.903058043,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.953387706,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.005845887,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.856154612,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.01908511,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.175088199,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,1.206725189,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.671789274,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.820487023,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.6299216,3.80315166,0.037401595,2.00000108,0.815353804,Rambo-Roddenberry (2002),Stud diameter = 5/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.829580258,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.729524013,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.754854708,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.669801861,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.337188289,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.459601442,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.700231233,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.784554307,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,3.80315166,0.037401595,2.00000108,0.831573163,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.642531018,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.520177022,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,3.80315166,0.037401595,2.00000108,0.560501586,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.393701,4.8031522,0.037401595,3.00000162,0.855364383,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,4.8031522,0.037401595,3.00000162,1.149096895,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,4.8031522,0.037401595,3.00000162,1.34778892,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.468922111,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.424589396,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.55368052,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.393701,4.8031522,0.037401595,3.00000162,0.957580746,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,4.8031522,0.037401595,3.00000162,1.18441815,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.393701,4.8031522,0.037401595,3.00000162,1.145349493,Rambo-Roddenberry (2002),Stud diameter = 3/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.500537077,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.83701919,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.8661422,4.8031522,0.037401595,3.00000162,0.766154622,Rambo-Roddenberry (2002),Stud diameter = 7/8 inch
0.7480319,5.80315274,0.037401595,4.50000243,0.519483924,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,5.80315274,0.037401595,4.50000243,0.45809533,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,5.80315274,0.037401595,4.50000243,0.441179362,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,7.80315382,0.037401595,6.00000324,0.399511184,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,7.80315382,0.037401595,6.00000324,0.35675283,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,7.80315382,0.037401595,6.00000324,0.32257214,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.4504666,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.039203437,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.587389375,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.065945356,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.892122879,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.124508088,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.801091518,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.086390487,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.581999531,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,0.621905109,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
0.7480319,3.80315166,0.037401595,2.00000108,1.193539555,Rambo-Roddenberry (2002),Stud diameter = 3/4 inch
